Gene,ExAC No. PP2>.95 Missense,ExAC No.Frameshift,ExAC No.StopGain,ExAC No.StartLost,ExAC No.SpliceSite
FXYD3,10(5)[100],3(1)[13],4(2)[28],1(1)[1],3(3)[3]
FXYD5,25(12)[91],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
FXYD7,6(4)[13],0(0)[0],0(0)[0],0(0)[0],3(3)[3]
FZR1,6(5)[7],0(0)[0],0(0)[0],1(1)[1],1(1)[1]
GADD45B,6(6)[6],1(1)[1],1(1)[1],1(1)[1],1(0)[4]
GADD45GIP1,25(11)[338],3(2)[6],7(3)[28],0(0)[0],0(0)[0]
GALP,3(1)[215],1(1)[1],3(3)[3],0(0)[0],2(0)[7]
GAMT,39(18)[172],6(3)[8],6(5)[9],0(0)[0],1(0)[2]
GAPDHS,71(34)[530],6(3)[12],3(1)[8],0(0)[0],2(1)[3]
GATAD2A,47(34)[89],1(1)[1],1(0)[4],1(1)[1],1(1)[1]
GCDH,59(32)[225],5(3)[7],2(2)[2],0(0)[0],2(1)[10]
GDF1,7(4)[32],2(1)[5],0(0)[0],0(0)[0],0(0)[0]
GDF15,11(8)[97],6(5)[7],5(3)[8],0(0)[0],1(1)[1]
GEMIN7,17(9)[43],1(1)[1],1(0)[4],0(0)[0],0(0)[0]
GGN,35(23)[1338],8(4)[10],4(3)[977],1(0)[2],1(1)[1]
GIPC1,42(31)[151],1(1)[1],2(2)[2],0(0)[0],2(2)[2]
GIPC3,35(21)[217],2(2)[2],2(0)[6],0(0)[0],1(1)[1]
GIPR,55(35)[377],8(7)[13],17(9)[84],1(0)[2],11(6)[16]
GLTSCR1,50(31)[472],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
GLTSCR2,48(26)[783],3(2)[4],7(3)[2493],1(1)[1],0(0)[0]
GMFG,21(13)[40],2(2)[2],6(3)[28],1(0)[3],2(1)[6]
GMIP,59(29)[212],5(3)[9],7(5)[10],0(0)[0],7(7)[7]
GNA11,10(9)[11],1(0)[2],0(0)[0],0(0)[0],0(0)[0]
GNA15,35(20)[111],0(0)[0],2(1)[3],0(0)[0],1(1)[1]
GNG7,4(2)[7],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
GNG8,6(4)[43],0(0)[0],0(0)[0],1(0)[3],1(1)[1]
GP6,24(15)[124],25(13)[5341],19(10)[495],1(1)[1],3(2)[4]
GPATCH1,87(46)[596],13(9)[20],9(4)[27],0(0)[0],6(3)[11]
GPI,54(39)[178],2(2)[2],5(4)[7],1(1)[1],3(3)[3]
GPR108,53(34)[150],4(2)[10],9(5)[24],0(0)[0],9(2)[44]
GPR32,22(15)[45],5(4)[6],6(3)[18],0(0)[0],0(0)[0]
GPR4,16(14)[19],1(1)[1],2(1)[4],0(0)[0],0(0)[0]
GPX4,20(14)[44],3(2)[5],7(1)[106],0(0)[0],1(0)[2]
GRAMD1A,33(15)[149],5(4)[6],3(1)[6],1(1)[1],4(3)[237]
GRIK5,77(44)[480],2(2)[2],2(2)[2],0(0)[0],3(3)[3]
GRIN2D,34(26)[57],4(3)[6],1(1)[1],0(0)[0],0(0)[0]
GRIN3B,180(88)[3574],20(4)[28969],8(3)[761],0(0)[0],4(2)[13]
GRWD1,44(21)[153],8(5)[45],3(3)[3],2(1)[3],1(0)[2]
GSK3A,7(7)[7],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
GTF2F1,77(33)[653],7(4)[21],4(3)[5],1(0)[2],3(1)[299]
GTPBP3,84(54)[189],4(3)[5],5(5)[5],0(0)[0],0(0)[0]
GYS1,91(46)[469],9(5)[20],9(7)[204],2(2)[2],3(2)[4]
GZMM,48(22)[375],4(1)[9],5(2)[408],0(0)[0],1(1)[1]
HAMP,2(1)[5],0(0)[0],1(0)[2],1(0)[2],2(1)[5]
HAPLN4,41(23)[78],5(5)[5],2(1)[7],0(0)[0],2(2)[2]
HAS1,60(27)[289],7(3)[43],12(6)[47],0(0)[0],3(2)[7]
HAUS5,44(24)[3040],6(6)[6],9(7)[13],0(0)[0],2(1)[4]
HAUS8,27(15)[190],7(5)[11],5(4)[7],2(2)[2],3(2)[4]
HCN2,18(16)[20],0(0)[0],2(2)[2],0(0)[0],0(0)[0]
HCST,5(3)[56],2(1)[8],1(1)[1],0(0)[0],2(1)[4]
HDGFRP2,23(12)[305],12(3)[105],0(0)[0],0(0)[0],4(3)[5]
HIF3A,88(43)[374],11(9)[13],6(3)[322],3(1)[5],2(2)[2]
HIPK4,63(39)[481],4(4)[4],6(5)[7],1(1)[1],0(0)[0]
HKR1,46(19)[7518],26(15)[109],17(7)[205],1(1)[1],0(0)[0]
HMG20B,13(8)[101],0(0)[0],3(1)[6],0(0)[0],2(2)[2]
HMHA1,60(43)[139],3(2)[4],5(3)[9],0(0)[0],4(2)[25]
HNRNPL,12(12)[12],2(0)[124],1(1)[1],0(0)[0],2(1)[4]
HNRNPM,38(32)[54],3(3)[3],0(0)[0],0(0)[0],0(0)[0]
HNRNPUL1,28(21)[41],0(0)[0],3(3)[3],0(0)[0],1(1)[1]
HOMER3,33(17)[942],1(1)[1],2(2)[2],0(0)[0],1(1)[1]
HOOK2,78(43)[612],10(8)[13],9(5)[16],3(3)[3],10(6)[18]
HPN,25(13)[130],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
HRC,53(31)[1457],22(9)[190],9(2)[53],0(0)[0],1(1)[1]
HSD11B1L,15(10)[45],4(2)[15],7(5)[19],1(1)[1],1(1)[1]
HSD17B14,32(18)[5537],9(7)[17],5(3)[111],0(0)[0],4(4)[4]
HSPB6,10(7)[41],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
HSPBP1,24(11)[1046],4(3)[6],4(3)[5],0(0)[0],1(1)[1]
ICAM1,60(23)[12938],4(3)[26],3(3)[3],0(0)[0],1(1)[1]
ICAM3,46(23)[212],14(6)[139],17(13)[22],2(2)[2],11(7)[35]
ICAM4,19(11)[59],5(2)[398],4(3)[64],0(0)[0],2(2)[2]
ICAM5,49(30)[150],4(4)[4],6(5)[7],0(0)[0],0(0)[0]
IER2,30(20)[69],2(1)[4],0(0)[0],0(0)[0],0(0)[0]
IFI30,22(9)[77],5(1)[27],4(2)[12],0(0)[0],3(1)[5]
IFNL1,20(12)[138],2(0)[7],5(2)[10],2(0)[12],2(1)[5]
IFNL2,16(9)[162],3(2)[4],2(1)[44],0(0)[0],5(3)[10]
IFNL3,21(5)[1883],1(1)[1],3(2)[5],1(1)[1],4(4)[4]
IGFL1,9(3)[8247],2(1)[4],5(3)[15],0(0)[0],2(2)[2]
IGFL2,9(6)[13],5(3)[9],2(1)[4],1(0)[119],5(3)[11]
IGFL3,10(3)[38],1(1)[1],2(1)[3],1(0)[2],3(3)[3]
IGFL4,9(4)[28],0(0)[0],3(1)[6],0(0)[0],1(0)[2]
IGFLR1,17(9)[304],15(8)[220],3(3)[3],0(0)[0],5(4)[6]
IGLON5,14(11)[21],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
IGSF23,3(2)[8],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
IL11,13(8)[72],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
IL12RB1,69(36)[818],4(4)[4],13(4)[39],1(1)[1],3(2)[20]
IL27RA,32(18)[278],8(4)[25],5(4)[7],1(0)[7],10(8)[13]
IL4I1,39(19)[627],3(2)[15],3(1)[5],0(0)[0],0(0)[0]
ILF3,27(17)[41],1(0)[20],0(0)[0],0(0)[0],0(0)[0]
ILVBL,93(43)[2982],4(3)[9],7(4)[16],2(2)[2],4(4)[4]
INSL3,14(5)[180],0(0)[0],5(4)[6],0(0)[0],0(0)[0]
INSR,54(39)[96],3(2)[5],7(6)[8],0(0)[0],5(3)[10]
IRF2BP1,22(15)[38],1(1)[1],0(0)[0],1(1)[1],0(0)[0]
IRF3,33(19)[228],8(6)[32],5(2)[47],0(0)[0],2(2)[2]
IRGC,41(26)[243],4(3)[10],3(3)[3],4(4)[4],0(0)[0]
IRGQ,75(49)[181],8(6)[13],8(4)[20],0(0)[0],0(0)[0]
ISOC2,27(10)[127],3(3)[3],2(2)[2],0(0)[0],1(1)[1]
ISYNA1,46(31)[159],7(5)[12],5(2)[9],0(0)[0],2(1)[6]
ITPKC,43(23)[278],4(3)[5],4(4)[4],0(0)[0],2(2)[2]
IZUMO1,25(16)[46],9(7)[22],1(1)[1],0(0)[0],7(5)[9]
IZUMO2,14(10)[360],6(4)[9],3(3)[3],0(0)[0],6(4)[17]
IZUMO4,63(39)[2631],8(4)[14],7(3)[17],0(0)[0],6(2)[22]
JAK3,81(52)[341],5(5)[5],4(4)[4],0(0)[0],2(2)[2]
JOSD2,28(15)[56],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
JSRP1,17(9)[38],10(7)[75],7(4)[11],1(0)[10741],5(3)[50]
JUNB,18(12)[35],0(0)[0],0(0)[0],1(1)[1],0(0)[0]
JUND,9(7)[14],2(2)[2],0(0)[0],1(1)[1],0(0)[0]
KANK2,143(68)[1327],3(2)[18],1(0)[3],1(0)[6],4(3)[40]
KANK3,53(29)[4584],6(4)[12],5(3)[13],2(2)[2],5(3)[11]
KCNA7,51(31)[128],4(1)[41],3(1)[5],0(0)[0],1(1)[1]
KCNC3,37(27)[63],4(4)[4],1(0)[4],2(1)[14],0(0)[0]
KCNJ14,56(31)[558],5(2)[11],6(5)[7],1(1)[1],0(0)[0]
KCNK6,40(22)[617],7(4)[29],1(0)[14],0(0)[0],1(0)[28]
KCNN4,31(16)[255],3(2)[4],7(3)[15],1(1)[1],3(2)[123]
KCTD15,18(15)[24],1(1)[1],1(0)[2],0(0)[0],1(1)[1]
KDELR1,0(0)[0],0(0)[0],4(2)[6],1(1)[1],0(0)[0]
KDM4B,27(18)[55],2(2)[2],0(0)[0],0(0)[0],1(1)[1]
KEAP1,17(11)[57],4(3)[5],5(5)[5],0(0)[0],0(0)[0]
KHSRP,10(8)[12],1(0)[13],0(0)[0],1(1)[1],0(0)[0]
KIAA0355,53(31)[132],4(4)[4],2(2)[2],1(1)[1],3(3)[3]
KIAA1683,88(33)[949],18(11)[66],11(7)[66],1(1)[1],1(1)[1]
KIR2DL1,20(6)[96],6(4)[6],2(1)[469],1(0)[2],1(1)[1]
KIR2DL3,5(2)[8],4(2)[14],2(2)[2],1(0)[2],2(1)[3]
KIR2DL4,2(1)[85],6(1)[560],0(0)[0],0(0)[0],1(0)[3]
KIR3DL1,23(8)[20145],7(3)[20],6(2)[17],0(0)[0],4(2)[69]
KIR3DL2,8(3)[123],6(2)[27],3(1)[9],0(0)[0],0(0)[0]
KIR3DL3,1(0)[3],3(3)[3],1(0)[2],0(0)[0],0(0)[0]
KIRREL2,88(49)[2255],14(10)[46],10(4)[27],1(1)[1],5(3)[162]
KISS1R,21(13)[57],2(2)[2],3(2)[11],0(0)[0],1(1)[1]
KLC3,58(23)[370],16(6)[162],8(3)[55],1(1)[1],5(4)[6]
KLF1,14(8)[37],2(1)[3],6(5)[7],1(0)[2],0(0)[0]
KLF16,12(7)[50],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
KLF2,3(3)[3],2(2)[2],0(0)[0],0(0)[0],0(0)[0]
KLHL26,67(40)[133],5(5)[5],9(5)[14],0(0)[0],0(0)[0]
KLK1,31(21)[273],6(1)[15],2(1)[4],1(0)[5],4(2)[13]
KLK10,30(20)[179],2(1)[5],3(0)[51],1(0)[3],5(3)[8]
KLK11,22(11)[53],6(3)[11],3(3)[3],0(0)[0],2(1)[3]
KLK12,31(17)[982],6(1)[17],4(3)[6],1(1)[1],3(2)[69214]
KLK13,25(18)[2936],5(3)[8],0(0)[0],1(1)[1],2(1)[4]
KLK14,37(18)[868],4(3)[7],7(3)[23],0(0)[0],7(3)[1832]
KLK15,32(23)[531],7(0)[35],1(1)[1],3(1)[5],2(2)[2]
KLK2,25(15)[419],6(3)[21],6(3)[15],0(0)[0],2(1)[3]
KLK3,37(19)[1066],2(2)[2],3(2)[6],0(0)[0],4(2)[51249]
KLK4,33(20)[268],4(2)[37],2(1)[25],1(1)[1],2(2)[2]
KLK5,33(16)[91],7(4)[11],2(2)[2],1(0)[3],1(1)[1]
KLK6,19(13)[31],3(1)[8],3(0)[735],1(0)[2],1(0)[3]
KLK7,26(17)[124],3(1)[5],3(2)[4],0(0)[0],1(0)[2]
KLK8,15(11)[36],0(0)[0],4(2)[20],1(1)[1],3(2)[10]
KLK9,34(18)[362],4(2)[7],2(1)[38],0(0)[0],3(2)[5]
KMT2B,21(9)[141],3(1)[102515],2(2)[2],0(0)[0],3(2)[6]
KPTN,25(15)[119],5(3)[21],5(3)[11],1(0)[22],3(2)[16]
KRTDAP,13(7)[26],0(0)[0],2(2)[2],0(0)[0],1(1)[1]
KXD1,16(12)[39],1(0)[2],1(1)[1],0(0)[0],1(1)[1]
LAIR1,44(25)[724],7(4)[28],3(3)[3],1(0)[5],6(2)[28]
LAIR2,14(10)[27],3(1)[111],2(1)[4086],0(0)[0],5(1)[50]
LDLR,168(79)[897],10(9)[14],22(15)[35],0(0)[0],7(6)[11]
LENG1,38(17)[4754],9(4)[42],12(9)[19],0(0)[0],0(0)[0]
LENG8,77(50)[166],1(1)[1],2(1)[3],1(0)[12],2(1)[4]
LENG9,71(40)[1120],21(7)[327],12(8)[29],1(0)[3362],0(0)[0]
LGALS13,18(11)[339],2(0)[200],5(4)[10],2(1)[4],2(1)[3]
LGALS14,17(9)[71],2(1)[4],4(0)[16],2(0)[88],1(0)[7]
LGALS16,11(5)[40],2(1)[1],4(2)[6],1(1)[1],2(1)[4]
LGALS4,55(31)[156],4(3)[6],4(2)[11],3(3)[3],6(4)[10]
LGALS7,0(0)[0],2(1)[23],0(0)[0],1(0)[5],0(0)[0]
LGALS7B,1(0)[61],2(1)[24],0(0)[0],0(0)[0],0(0)[0]
LGI4,35(25)[89],1(1)[1],4(3)[7],0(0)[0],1(1)[1]
LHB,31(17)[175],3(2)[4],2(2)[2],0(0)[0],0(0)[0]
LIG1,106(60)[505],11(6)[25],5(4)[6],1(0)[2],5(4)[7]
LILRA1,46(23)[260],9(7)[12],14(8)[85],0(0)[0],8(6)[11]
LILRA2,69(37)[850],4(3)[5],13(8)[120],0(0)[0],5(3)[7982]
LILRA3,20(12)[84],11(5)[768],6(2)[1555],1(0)[8],2(0)[2571]
LILRA4,41(23)[229],12(8)[22],12(4)[30],0(0)[0],5(3)[11]
LILRA5,19(13)[145],6(4)[12],5(5)[5],1(1)[1],5(1)[35]
LILRA6,24(12)[3898],5(4)[6],8(6)[24],0(0)[0],0(0)[0]
LILRB1,37(22)[160],9(6)[12],10(6)[153],0(0)[0],2(1)[3]
LILRB2,35(22)[212],7(7)[7],11(8)[107],2(1)[7],2(0)[22]
LILRB3,11(3)[2589],3(3)[3],3(2)[6],0(0)[0],4(3)[3]
LILRB4,19(11)[92],8(4)[45],8(6)[12],1(1)[1],6(3)[66]
LILRB5,60(30)[41917],12(9)[17],13(5)[47],0(0)[0],7(1)[70]
LIM2,48(25)[182],1(0)[4],4(4)[4],1(1)[1],1(1)[1]
LIN37,25(16)[123],0(0)[0],3(0)[22],0(0)[0],1(0)[61822]
LIN7B,16(13)[40],1(1)[1],0(0)[0],0(0)[0],1(0)[2]
LINGO3,29(22)[84],2(2)[2],1(0)[2],0(0)[0],0(0)[0]
LIPE,98(45)[2657],21(14)[55],12(5)[57],1(0)[6],5(3)[12]
LMNB2,35(16)[113],1(0)[7],0(0)[0],0(0)[0],1(1)[1]
LMTK3,5(4)[6],2(0)[108],1(1)[1],1(0)[3],1(1)[1]
LOC100287177,5(4)[6],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
LOC100507003,3(1)[24],2(1)[7],0(0)[0],0(0)[0],0(0)[0]
LOC147646,2(2)[2],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
LOC643669,1(0)[2],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
LONP1,122(60)[1114],0(0)[0],6(1)[22],0(0)[0],4(4)[4]
LPAR2,27(19)[40],6(5)[7],2(0)[5],1(1)[1],0(0)[0]
LPHN1,127(86)[307],1(1)[1],2(2)[2],0(0)[0],0(0)[0]
LPPR2,24(17)[34],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
LPPR3,73(40)[287],3(1)[179],0(0)[0],0(0)[0],3(3)[3]
LRFN1,37(30)[51],2(2)[2],1(1)[1],0(0)[0],0(0)[0]
LRFN3,43(30)[71],4(3)[16],0(0)[0],0(0)[0],0(0)[0]
LRG1,40(20)[256],5(1)[17],7(4)[31],0(0)[0],0(0)[0]
LRP3,71(27)[1153],4(2)[10],3(2)[5],0(0)[0],2(2)[2]
LRRC25,8(5)[83788],1(1)[1],0(0)[0],0(0)[0],1(1)[1]
LRRC4B,20(16)[34],0(0)[0],2(2)[2],0(0)[0],0(0)[0]
LRRC8E,106(54)[478],11(8)[68],11(6)[100],2(1)[7],0(0)[0]
LSM14A,20(17)[26],1(1)[1],2(2)[2],0(0)[0],3(3)[3]
LSM4,7(4)[18],2(2)[2],1(0)[3],0(0)[0],0(0)[0]
LSM7,4(3)[7],0(0)[0],1(0)[2],0(0)[0],0(0)[0]
LSR,105(55)[704],11(6)[69],9(6)[109],3(2)[5],6(6)[6]
LYL1,12(6)[21],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
LYPD3,41(21)[170],3(0)[19],7(5)[12],1(0)[15],4(1)[22]
LYPD4,20(10)[4676],4(4)[4],3(2)[4],1(1)[1],3(3)[3]
LYPD5,20(14)[36],5(1)[12],3(1)[8],2(1)[22],4(3)[5]
MADCAM1,10(6)[27],10(2)[4702],1(0)[7],0(0)[0],0(0)[0]
MAG,37(20)[248],2(2)[2],4(2)[9],0(0)[0],1(1)[1]
MAMSTR,6(3)[129],3(2)[148],1(1)[1],0(0)[0],4(3)[6]
MAN2B1,78(51)[413],13(12)[14],15(11)[60],0(0)[0],12(5)[27]
MAP1S,75(44)[10414],8(7)[11],4(4)[4],0(0)[0],1(0)[7]
MAP2K2,29(18)[39],1(1)[1],0(0)[0],0(0)[0],1(0)[2]
MAP2K7,14(9)[22],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
MAP3K10,42(28)[279],4(3)[14],1(1)[1],0(0)[0],2(2)[2]
MAP4K1,55(34)[413],1(1)[1],4(4)[4],1(0)[5],2(1)[12]
MARCH2,19(11)[133],1(1)[1],2(1)[6],0(0)[0],0(0)[0]
MARK4,22(15)[52],0(0)[0],0(0)[0],0(0)[0],2(2)[2]
MAST1,77(52)[173],1(1)[1],1(1)[1],1(1)[1],1(0)[2]
MAST3,61(36)[168],2(2)[2],1(1)[1],0(0)[0],3(2)[4]
MATK,47(31)[220],3(2)[4],8(5)[716],1(1)[1],5(3)[9]
MAU2,13(10)[20],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
MBD3,18(14)[28],2(1)[4],0(0)[0],1(0)[2],0(0)[0]
MBD3L1,21(9)[68],1(1)[1],6(4)[10],0(0)[0],0(0)[0]
MBD3L2,0(0)[0],3(3)[3],0(0)[0],0(0)[0],0(0)[0]
MBD3L3,0(0)[0],0(0)[0],1(0)[15],0(0)[0],0(0)[0]
MBD3L4,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
MBD3L5,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
MBOAT7,30(16)[72],6(6)[6],1(1)[1],0(0)[0],3(2)[4]
MCOLN1,26(20)[38],4(3)[5],5(2)[33],0(0)[0],4(1)[29]
MED16,199(113)[888],9(3)[104],9(3)[21],2(1)[4],1(1)[1]
MED25,35(19)[93],13(9)[40],10(6)[17],0(0)[0],5(3)[7]
MED26,71(43)[217],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
MED29,10(7)[14],5(4)[6],2(2)[2],0(0)[0],3(1)[5]
MEF2B,64(40)[192],0(0)[0],6(6)[6],0(0)[0],4(4)[4]
MEF2BNB,32(20)[96],0(0)[0],3(3)[3],1(1)[1],3(3)[3]
MEF2BNB-MEF2B,32(20)[96],0(0)[0],3(3)[3],0(0)[0],2(2)[2]
MEGF8,275(152)[2694],12(10)[15],13(10)[26],0(0)[0],5(4)[6]
MEIS3,60(36)[281],6(5)[7],9(6)[17],0(0)[0],1(1)[1]
MEX3D,25(19)[39],3(3)[3],0(0)[0],0(0)[0],0(0)[0]
MFSD12,92(50)[1355],19(10)[58],9(7)[48],0(0)[0],6(3)[11]
MIA,21(10)[136],4(4)[4],1(1)[1],0(0)[0],5(4)[7]
MIDN,45(21)[93],2(2)[2],2(2)[2],0(0)[0],2(2)[2]
MIER2,31(16)[148],2(2)[2],1(1)[1],0(0)[0],1(0)[18]
MISP,89(39)[468],8(6)[10],11(8)[44],0(0)[0],3(2)[4]
MKNK2,37(26)[81],3(3)[3],7(4)[18],0(0)[0],3(2)[5]
MLLT1,24(17)[35],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
MOB3A,47(23)[167],4(4)[4],2(1)[6],1(1)[1],2(1)[3]
MPND,47(27)[3919],5(3)[7],2(2)[2],0(0)[0],3(2)[4]
MPV17L2,7(2)[38],3(2)[11],8(5)[13],0(0)[0],3(2)[5]
MRI1,44(20)[289],3(1)[21],3(2)[12],1(0)[8],5(2)[8]
MRPL34,5(3)[14],1(1)[1],2(2)[2],0(0)[0],0(0)[0]
MRPL4,39(18)[188],6(4)[11],8(4)[25],0(0)[0],4(2)[6]
MRPL54,14(6)[107],1(0)[2],2(1)[12],0(0)[0],0(0)[0]
MRPS12,13(8)[23],5(4)[6],3(3)[3],0(0)[0],0(0)[0]
MUC16,297(163)[21032],154(114)[444],75(55)[170],3(1)[17],30(22)[65]
MUM1,40(23)[150],2(1)[3],7(4)[17],1(0)[4],1(1)[1]
MVB12A,43(22)[1365],2(2)[2],4(2)[6],2(1)[8],5(5)[5]
MYADM,21(15)[43],3(3)[3],2(2)[2],0(0)[0],0(0)[0]
MYBPC2,157(69)[3396],20(11)[221],20(14)[79],1(1)[1],9(5)[70]
MYH14,273(135)[6519],2(1)[5],4(4)[4],0(0)[0],7(7)[7]
MYO1F,102(51)[988],4(3)[5],6(4)[11],0(0)[0],6(3)[23]
MYO9B,186(100)[1021],6(6)[6],3(3)[3],0(0)[0],1(1)[1]
MYPOP,19(9)[126],8(4)[55],0(0)[0],0(0)[0],0(0)[0]
MZF1,118(71)[8044],15(9)[37],11(7)[21],0(0)[0],1(1)[1]
NACC1,11(9)[18],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
NANOS2,15(8)[56],2(0)[5],0(0)[0],1(1)[1],0(0)[0]
NANOS3,6(1)[35],0(0)[0],3(3)[3],1(1)[1],1(1)[1]
NAPA,25(20)[153],5(4)[6],1(1)[1],0(0)[0],0(0)[0]
NAPSA,50(32)[171],9(4)[39],7(3)[16],0(0)[0],6(4)[56]
NAT14,1(1)[1],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
NCAN,114(64)[545],3(2)[11],6(5)[7],2(1)[9],3(2)[4]
NCCRP1,34(13)[153],2(1)[3],2(0)[6],1(1)[1],4(2)[16]
NCLN,24(14)[1848],1(1)[1],2(2)[2],0(0)[0],2(2)[2]
NCR1,16(12)[33],6(6)[6],6(2)[12],0(0)[0],4(4)[4]
NDUFA11,19(10)[65],1(1)[1],1(0)[2],0(0)[0],0(0)[0]
NDUFA13,33(18)[183],2(1)[6],4(3)[8],1(0)[2],2(1)[9]
NDUFA3,8(4)[27],1(0)[13],3(1)[10],1(1)[1],1(1)[1]
NDUFA7,15(3)[2205],5(3)[10],2(2)[2],1(0)[2],2(2)[2]
NDUFB7,13(8)[88],3(3)[3],2(1)[4],0(0)[0],0(0)[0]
NDUFS7,23(15)[48],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
NFIC,27(20)[209],0(0)[0],1(1)[1],0(0)[0],2(1)[5]
NFIX,20(18)[23],1(0)[2],0(0)[0],0(0)[0],0(0)[0]
NFKBIB,54(26)[375],0(0)[0],0(0)[0],1(0)[3],2(1)[3]
NFKBID,14(9)[41],0(0)[0],1(1)[1],1(0)[3],1(0)[2]
NKG7,17(8)[80],2(2)[2],4(1)[10],0(0)[0],1(1)[1]
NLRP11,52(34)[2403],9(5)[19],11(9)[13],1(1)[1],2(1)[3]
NLRP12,150(69)[8156],30(18)[116],31(14)[314],0(0)[0],6(4)[8]
NLRP13,90(58)[445],23(14)[1748],18(14)[33],1(1)[1],5(3)[14]
NLRP2,94(55)[1987],21(16)[35],23(14)[32],2(2)[2],9(4)[76]
NLRP4,87(51)[997],12(10)[16],6(5)[7],0(0)[0],6(3)[103]
NLRP5,117(71)[20925],20(16)[53],14(9)[30],0(0)[0],4(3)[7]
NLRP7,90(40)[820],15(7)[51],12(10)[18],1(0)[2],9(6)[16]
NLRP8,66(42)[211],24(17)[252],16(9)[100],0(0)[0],11(7)[47]
NLRP9,65(41)[2927],34(24)[159],19(10)[48],2(2)[2],6(3)[12]
NMRK2,23(12)[67],5(3)[192],5(1)[15],1(1)[1],8(5)[24]
NOSIP,11(5)[22],3(1)[10],1(1)[1],0(0)[0],4(3)[5]
NOTCH3,206(110)[4572],7(5)[20],10(8)[10],0(0)[0],5(5)[5]
NOVA2,3(3)[3],0(0)[0],0(0)[0],1(1)[1],0(0)[0]
NPAS1,46(29)[226],6(6)[6],2(1)[10],0(0)[0],1(1)[1]
NPHS1,80(48)[503],13(8)[164],13(6)[53],0(0)[0],11(7)[22]
NR1H2,37(24)[78],2(2)[2],1(1)[1],0(0)[0],1(1)[1]
NR2C2AP,15(9)[33],4(3)[6],1(1)[1],2(0)[18],1(1)[1]
NR2F6,15(6)[70],1(1)[1],1(1)[1],0(0)[0],1(1)[1]
NRTN,11(8)[19],0(0)[0],1(1)[1],0(0)[0],1(0)[3]
NTF4,39(17)[270],1(1)[1],2(0)[4],0(0)[0],0(0)[0]
NTN5,30(13)[207],6(3)[25],4(3)[7],2(1)[3],6(3)[15]
NUCB1,53(28)[317],4(3)[5],7(3)[20],0(0)[0],4(3)[5]
NUDT19,59(25)[437],7(4)[29],5(1)[82],0(0)[0],2(0)[10]
NUMBL,27(17)[75],3(0)[11],1(1)[1],0(0)[0],2(1)[15]
NUP62,30(17)[2354],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
NWD1,131(69)[2015],25(15)[97],29(16)[124],0(0)[0],6(4)[102]
NXNL1,19(7)[174],1(0)[2],1(0)[3],1(0)[75],1(0)[12]
OAZ1,13(10)[27],4(3)[5],2(1)[3],0(0)[0],1(0)[14]
OCEL1,26(11)[593],9(4)[24],5(3)[45],0(0)[0],5(3)[359]
ODF3L2,25(14)[1676],2(2)[2],4(1)[12],1(1)[1],0(0)[0]
OLFM2,44(28)[78],3(1)[6],0(0)[0],0(0)[0],0(0)[0]
ONECUT3,9(7)[12],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
OPA3,34(21)[147],4(2)[6],6(3)[19],1(1)[1],0(0)[0]
OR10H1,21(10)[28007],5(3)[7],0(0)[0],0(0)[0],0(0)[0]
OR10H2,28(15)[33113],2(2)[2],3(2)[5],0(0)[0],0(0)[0]
OR10H3,43(27)[23311],4(2)[86],3(2)[5],2(0)[4],0(0)[0]
OR10H4,41(18)[1186],7(4)[32],4(2)[101],0(0)[0],0(0)[0]
OR10H5,26(16)[275],1(1)[1],2(2)[2],2(1)[3],0(0)[0]
OR1I1,38(19)[100586],9(7)[11],4(4)[4],0(0)[0],0(0)[0]
OR1M1,66(37)[750],9(5)[13],5(4)[10],2(1)[6],0(0)[0]
OR2Z1,44(18)[264],7(3)[33],9(8)[10],3(2)[24],0(0)[0]
OR4F17,0(0)[0],1(0)[732],0(0)[0],0(0)[0],0(0)[0]
