Gene,MGI Phenotypes,MGI Essential,MGI Seizure
COL4A5,MP:0001303;MP:0005293;MP:0010025;MP:0005178;MP:0001289;MP:0005553;MP:0005253;MP:0002135;MP:0008140;MP:0002703;MP:0001566;MP:0010088;MP:0002705;MP:0002874;MP:0002875;MP:0004969;MP:0002083;MP:0011320;MP:0002591;MP:0000194;MP:0005567;MP:0011405;MP:0005565;MP:0011427;MP:0005562;MP:0005419;MP:0005325;MP:0011509;MP:0011346;MP:0005264;MP:0011348;MP:0003236;MP:0000208;MP:0011483;MP:0002962,0,0
COL4A4,MP:0001262;MP:0001265;MP:0002989;MP:0011353;MP:0005553;MP:0011418;MP:0002135;MP:0008140;MP:0011967;MP:0001859;MP:0002705;MP:0002871;MP:0004969;MP:0005161;MP:0002083;MP:0000521;MP:0004740;MP:0011405;MP:0005565;MP:0011425;MP:0006325;MP:0011402;MP:0011346;MP:0003215;MP:0005264;MP:0011348;MP:0011506;MP:0003606;MP:0011409;MP:0009644;MP:0009511;MP:0011483;MP:0002962,0,0
COL4A3,MP:0001262;MP:0011349;MP:0004970;MP:0001303;MP:0008770;MP:0002989;MP:0000048;MP:0011377;MP:0011353;MP:0011437;MP:0005553;MP:0002135;MP:0008140;MP:0011534;MP:0004368;MP:0005326;MP:0002743;MP:0011967;MP:0004366;MP:0002874;MP:0000562;MP:0002871;MP:0004969;MP:0005161;MP:0002083;MP:0011320;MP:0000035;MP:0004740;MP:0011346;MP:0005565;MP:0001762;MP:0011427;MP:0001319;MP:0005325;MP:0011402;MP:0005202;MP:0011868;MP:0003215;MP:0005264;MP:0011348;MP:0005528;MP:0011506;MP:0003606;MP:0004598;MP:0011409;MP:0009644;MP:0002962;MP:0008059,0,0
COL4A2,MP:0000681;MP:0013848;MP:0000572;MP:0001303;MP:0014003;MP:0001304;MP:0014021;MP:0000284;MP:0001061;MP:0003237;MP:0010259;MP:0000282;MP:0000841;MP:0008923;MP:0006063;MP:0002152;MP:0004269;MP:0004268;MP:0002111;MP:0011697;MP:0013876;MP:0004613;MP:0001914;MP:0013875;MP:0004160;MP:0014018;MP:0010463;MP:0011101;MP:0011085;MP:0013913;MP:0002951;MP:0013971;MP:0009569;MP:0009274;MP:0011962;MP:0014012;MP:0008922;MP:0002874;MP:0002875;MP:0000706;MP:0011099;MP:0002177;MP:0000297;MP:0001146;MP:0010420;MP:0003686;MP:0013936;MP:0000150;MP:0000783;MP:0001092;MP:0013162;MP:0013163;MP:0010713;MP:0005205;MP:0010263;MP:0013867;MP:0006093;MP:0009570;MP:0014023;MP:0014001;MP:0001297;MP:0010484;MP:0014019;MP:0013877;MP:0003078;MP:0000208;MP:0010439;MP:0005262;MP:0014087,1,0
COL4A1,MP:0000752;MP:0000751;MP:0000807;MP:0002988;MP:0001921;MP:0011339;MP:0002135;MP:0002136;MP:0002792;MP:0000528;MP:0005325;MP:0011509;MP:0010053;MP:0005326;MP:0006051;MP:0011501;MP:0011348;MP:0003354;MP:0000208;MP:0011502;MP:0002828;MP:0001322;MP:0001325;MP:0010259;MP:0010252;MP:0011697;MP:0001916;MP:0001915;MP:0008140;MP:0001859;MP:0002874;MP:0002875;MP:0002871;MP:0011099;MP:0011092;MP:0004860;MP:0011090;MP:0011091;MP:0001314;MP:0001312;MP:0011682;MP:0001319;MP:0006221;MP:0000788;MP:0005542;MP:0001262;MP:0001577;MP:0020153;MP:0001265;MP:0001303;MP:0011086;MP:0001304;MP:0006069;MP:0003954;MP:0004756;MP:0004754;MP:0000791;MP:0020254;MP:0010235;MP:0009275;MP:0009274;MP:0009050;MP:0002092;MP:0005161;MP:0004272;MP:0006203;MP:0005565;MP:0001762;MP:0001924;MP:0002064;MP:0010090;MP:0011380;MP:0010098;MP:0009026;MP:0003381;MP:0001614;MP:0011187;MP:0001954;MP:0002152;MP:0011419;MP:0011101;MP:0008060;MP:0011498;MP:0002959;MP:0011843;MP:0002083;MP:0000746;MP:0004193;MP:0011402;MP:0010263;MP:0010261;MP:0001297;MP:0003236;MP:0008056;MP:0011481;MP:0008059,1,1
CHST1,MP:0001353;MP:0005017;MP:0005015,0,0
CHST3,MP:0005018;MP:0001402;MP:0003063;MP:0005348;MP:0009142;MP:0002397;MP:0000222;MP:0008101;MP:0001131;MP:0003863,0,0
CHST2,MP:0003156;MP:0002442,0,0
CHST5,MP:0003092;MP:0005543;MP:0001312;MP:0005300,0,0
CHST4,MP:0020332;MP:0003156;MP:0003628;MP:0002339;MP:0002345,0,0
