chromosome	OFFSPRING GENDER	offspring genotype	offspring coverage	mom genotype	mom coverage	dad genotype	dad coverage	FLAG
X	FEMALE	HOM-VAR	<10	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	HOM-VAR	>=10	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
X	FEMALE	HET	NA	HOM-REF	<10	HOM-REF	<10	POSSIBLY DE NOVO
X	FEMALE	HET	NA	HOM-REF	<10	HOM-REF	>=10	POSSIBLY DE NOVO
X	FEMALE	HET	NA	HOM-REF	>=10	HOM-REF	<10	POSSIBLY DE NOVO
X	FEMALE	HOM-VAR	<10	HET	>=10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HET	>=10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HET	>=10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HET	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-VAR	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-VAR	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	>=10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	<10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HET	>=10	HET	>=10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-VAR	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-VAR	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	>=10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HET	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-VAR	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HET	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-VAR	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-VAR	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HET	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-VAR	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
X	MALE	HET	ANY	HOM-VAR	ANY	ANY	ANY	UNLIKELY DE NOVO OR NEWLY HEMIZYGOUS
X	MALE	HET	ANY	HOM-REF	ANY	ANY	ANY	UNLIKELY DE NOVO OR NEWLY HEMIZYGOUS
X	MALE	HET	ANY	HET	ANY	ANY	ANY	UNLIKELY NEWLY HEMIZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	>=10	HET	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	>=10	HET	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	>=10	HOM-REF	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	>=10	HOM-REF	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	>=10	HOM-VAR	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	>=10	HOM-VAR	<10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	>=10	HET	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-REF	>=10	HET	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-REF	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HET	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HET	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HOM-VAR	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	>=10	HOM-VAR	<10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
X	FEMALE	HOM-VAR	<10	HET	>=10	HOM-REF	>=10	UNLIKELY NEWLY HOMOZYGOUS
Y	FEMALE	ANY	ANY	ANY	ANY	ANY	NA	NO FLAG
Y	MALE  	HET	ANY	ANY	ANY	HET	ANY	UNLIKELY DE NOVO
Y	MALE  	HET	ANY	ANY	ANY	HOM-REF	ANY	UNLIKELY DE NOVO
Y	MALE  	HET	ANY	ANY	ANY	HOM-VAR	ANY	UNLIKELY DE NOVO; IN REF
Y	MALE  	HOM-VAR	ANY	ANY	ANY	HET	ANY	UNLIKELY DE NOVO
Y	MALE  	HOM-VAR	ANY	ANY	ANY	HOM-REF	ANY	DE NOVO
Y	MALE  	HOM-VAR	ANY	ANY	ANY	HOM-VAR	ANY	NO FLAG
MT	MALE OR FEMALE	HOM-VAR	ANY	HOM-REF	>=10	ANY	ANY	DE NOVO
MT	MALE OR FEMALE	HOM-VAR	ANY	HET	>=10	ANY	ANY	POSSIBLY DE NOVO
MT	MALE OR FEMALE	HOM-VAR	ANY	HOM-REF	<10	ANY	ANY	POSSIBLY DE NOVO
MT	MALE OR FEMALE	HOM-VAR	ANY	HOM-VAR	>=10	ANY	ANY	NO FLAG
MT	MALE OR FEMALE	HOM-VAR	ANY	HET	<10	ANY	ANY	POSSIBLY DE NOVO
MT	MALE OR FEMALE	HOM-VAR	ANY	HOM-VAR	<10	ANY	ANY	UNLIKELY DE NOVO
MT	MALE OR FEMALE	HET	ANY	HOM-VAR	ANY	ANY	ANY	UNLIKELY DE NOVO
MT	MALE OR FEMALE	HET	ANY	HOM-REF	ANY	ANY	ANY	POSSIBLY DE NOVO
MT	MALE OR FEMALE	HET	ANY	HET	ANY	ANY	ANY	UNLIKELY DE NOVO
